experiment_id,kind,status,priority,track,base_recipe,hypothesis,train_changes,eval_changes,quantization,source_prs,wandb_group,latest_run_name,latest_remote_dir,latest_hardware,latest_steps,latest_val_loss,latest_val_bpb,latest_artifact_bytes,notes
baseline_sp1024_1gpu_smoke,reference,completed,ref,smoke,naive_baseline_sp1024,Sanity-check the remote environment end to end,"1 GPU, 120s wallclock cap, 1 train shard","Standard eval, VAL_LOSS_EVERY=0",int8+zlib default,repo README,baseline_sp1024_1gpu_smoke,remote_smoke_sp1024,/workspace/parameter-golf-runs/completed/2026-03-19_remote_smoke_sp1024,LIUM 8x RTX Pro 6000 (1 GPU used),234,3.31020657,1.96049078,7943465,Smoke only; useful for environment validation not model comparison.
baseline_sp1024_8gpu_rtx6000,reference,completed,ref,track_10min_16mb_like,naive_baseline_sp1024,Establish the current-pod 8 GPU reference under repo-standard timing,"8 GPU, 600s cap, full sp1024 train prefix, TRAIN_LOG_EVERY=50, VAL_LOSS_EVERY=200","Standard full-val eval every 200 steps",int8+zlib default,"repo baseline, local LIUM run",baseline_sp1024_8gpu_rtx6000,baseline_sp1024_8gpu_rtx6000,/workspace/parameter-golf-runs/completed/2026-03-19_baseline_sp1024_8gpu_rtx6000,LIUM 8x RTX Pro 6000,8109,2.09001737,1.23782601,15856950,Use as the pod-specific reference; slower than 8xH100 leaderboard hardware.
exp_eval_stride_sweep,planned,planned,p0,track_10min_16mb,baseline_sp1024_8gpu_rtx6000,Measure the cheapest eval-only gain before touching training,No train changes,"Sweep EVAL_STRIDE=512,256,128,64 on the same checkpoint",Reuse current export,"#89,#99,#102",exp_eval_stride_sweep,,,,,,,,Cheap win and required context for later comparisons.
exp_int6_export_zstd,planned,planned,p0,track_10min_16mb,baseline_sp1024_8gpu_rtx6000,Trade compression headroom for better model capacity,"Enable int6 export on large block weights and zstd compression",Keep standard eval first,int6+zstd,"#61,#88,#99,#102",exp_int6_export_zstd,,,,,,,,Core enabler for the strongest public stack.
exp_fp16_embed_passthrough,planned,planned,p0,track_10min_16mb,exp_int6_export_zstd,Protect the most quantization-sensitive tensor,"Keep tok_emb.weight in fp16 during export",Compare standard eval and stride-64 eval,mixed low-bit plus fp16 embedding,"#61,#88,#95,#99",exp_fp16_embed_passthrough,,,,,,,,Usually low-risk and synergistic with low-bit export.
exp_mlp3x_budget_swap,planned,planned,p0,track_10min_16mb,exp_int6_export_zstd,Reinvest saved bytes into model capacity,"Increase MLP_MULT to 3 or hidden size near 1536",Start with standard eval,int6+zstd,"#70,#88,#99,#102",exp_mlp3x_budget_swap,,,,,,,,Likely strongest architectural follow-up once bytes are free.
exp_quant_friendly_optimizer,planned,planned,p0,track_10min_16mb,exp_mlp3x_budget_swap,Reduce quantization damage by smoothing the weight distributions,"Try MATRIX_LR=0.02 SCALAR_LR=0.02 TIED_EMBED_LR=0.03 MUON_MOMENTUM=0.99 warmup from 0.92 WARMDOWN_ITERS=3000 GRAD_CLIP_NORM=1.0",Use the same eval recipe as the parent lane,same as parent,"#89,#99,#102",exp_quant_friendly_optimizer,,,,,,,,This is the optimizer pattern repeated across the top cluster.
exp_seq2048_lane,planned,planned,p1,track_10min_16mb,baseline_sp1024_8gpu_rtx6000,Check whether modestly longer context improves quality without the full seq4096 throughput hit,"Set TRAIN_SEQ_LEN=2048 and rebalance batch tokens",Use stride-64 eval if the lane is competitive,same as parent,"#63,#95",exp_seq2048_lane,,,,,,,,Good medium-risk lane if seq4096 is too expensive on this pod.
exp_seq4096_lane,planned,planned,p1,track_10min_16mb,baseline_sp1024_8gpu_rtx6000,Test the long-context recipe used by several strong submissions,"Set TRAIN_SEQ_LEN=4096 and reduce TRAIN_BATCH_TOKENS accordingly",Match eval to the longer-context recipe,same as parent,"#66,#74,#88,#64",exp_seq4096_lane,,,,,,,,Higher upside but slower steps on RTX Pro 6000 hardware.
exp_swa_or_ema_finish,planned,planned,p1,track_10min_16mb,exp_quant_friendly_optimizer,See whether end-of-run averaging gives a free last-mile gain,"Add SWA near the end of warmdown or EMA every few steps",Keep the parent eval recipe,same as parent,"#89,#95",exp_swa_or_ema_finish,,,,,,,,Second-wave idea after the core quantization stack is stable.
exp_latek_passthrough,planned,planned,p1,track_10min_16mb,exp_fp16_embed_passthrough,Keep a small set of late K matrices at higher precision,"Leave selected late c_k weights in fp16 or grouped int8",Use stride-64 eval,mixed low-bit plus selective passthrough,"#99",exp_latek_passthrough,,,,,,,,Targeted precision where the public lane saw measurable gains.
exp_mtp_aux_head,planned,planned,p1,track_10min_16mb,exp_mlp3x_budget_swap,Use a cheap auxiliary objective during training only,"Add a lightweight MTP head excluded from the export artifact",Keep stride-64 eval,same as parent,"#88",exp_mtp_aux_head,,,,,,,,Promising if throughput overhead stays small on this box.
exp_smeargate,planned,planned,p2,track_10min_16mb,exp_quant_friendly_optimizer,Test whether tiny pre-block token mixing adds cheap local context,"Add a learned previous-token blend before block 1",Use stride-64 eval,same as parent,"#102",exp_smeargate,,,,,,,,Single strong public signal; worth trying after the main stack.
exp_alt_tokenizer_lane,planned,planned,p2,track_10min_16mb,baseline_sp1024_8gpu_rtx6000,Explore larger tokenizers only after the main 1024-vocab lane is understood,"Try SP4096 or SP8192 with reduced depth or selective quant",Use sliding-window eval tuned for the tokenizer,specialized selective quant,"#53,#78,#92",exp_alt_tokenizer_lane,,,,,,,,Interesting but not currently the strongest standard-track path.
